document_id,source_dataset,prompt
0,MedQuAD,What is (are) Monkeypox Virus Infections ?
1,MedQuAD,Do you have information about Vitamin K
2,MedQuAD,What is (are) phosphoribosylpyrophosphate synthetase superactivity ?
3,MedQuAD,What are the symptoms of Kallmann syndrome 6 ?
4,MedQuAD,Is Marfan syndrome inherited ?
5,MedQuAD,What is (are) Restless Legs ?
6,MedQuAD,What is (are) Bart-Pumphrey syndrome ?
7,MedQuAD,How many people are affected by Aarskog-Scott syndrome ?
8,MedQuAD,What are the symptoms of Femur fibula ulna syndrome ?
9,MedQuAD,What are the symptoms of Lipodermatosclerosis ?
10,MedQuAD,What are the treatments for Heart Attack ?
11,PubMedQA,Application of computer-aided diagnosis (CAD) in MR-mammography (MRM): do we really need whole lesion time curve distribution analysis?
12,MedQuAD,What are the symptoms of Uropathy distal obstructive polydactyly ?
13,MedQuAD,What is (are) Restless legs syndrome ?
14,MedQuAD,What are the symptoms of Guanidinoacetate methyltransferase deficiency ?
15,MedQuAD,what research (or clinical trials) is being done for Cerebro-Oculo-Facio-Skeletal Syndrome (COFS) ?
16,MedQuAD,What are the symptoms of Woodhouse Sakati syndrome ?
17,MedQuAD,What are the treatments for What I need to know about Hepatitis A ?
18,MedQuAD,How many people are affected by pyridoxal 5'-phosphate-dependent epilepsy ?
19,MedQuAD,What are the symptoms of Cornelia de Lange syndrome ?
20,MedQuAD,What is (are) alveolar capillary dysplasia with misalignment of pulmonary veins ?
21,MedQuAD,What are the treatments for Pontocerebellar hypoplasia type 1 ?
22,MedQuAD,What is (are) Chronic Pain ?
23,MedQuAD,How to diagnose Coronary Microvascular Disease ?
24,MedQuAD,How many people are affected by autosomal recessive hypotrichosis ?
25,MedQuAD,Is Stargardt disease inherited ?
26,MedQuAD,What are the symptoms of Cataract and cardiomyopathy ?
27,MedQuAD,What are the symptoms of Pachyonychia congenita ?
28,MedQuAD,Is spinocerebellar ataxia type 6 inherited ?
29,MedQuAD,What are the treatments for Adult Soft Tissue Sarcoma ?
30,MedQuAD,What is (are) Warts ?
31,MedQuAD,What are the treatments for Schinzel-Giedion syndrome ?
32,MedQuAD,What are the genetic changes related to pyruvate dehydrogenase deficiency ?
33,MedQuAD,How many people are affected by N-acetylglutamate synthase deficiency ?
34,MedQuAD,How to prevent Iron-Deficiency Anemia ?
