query,expected_document_id,top_1,top_3,top_5,top_1_id,top_1_score
What are the symptoms of Camptodactyly syndrome Guadalajara type 3 ?,10328,True,True,True,10328,0.8373721837997437
What are the treatments for granulomatosis with polyangiitis ?,12017,True,True,True,12017,0.7470911741256714
What are the treatments for Chronic progressive external ophthalmoplegia ?,9195,False,True,True,3683,0.7639035582542419
Do you have information about Marijuana,14537,True,True,True,14537,0.6941598653793335
What is (are) Cyclic Vomiting Syndrome ?,4101,False,True,True,5121,0.7261233329772949
Is nonsyndromic aplasia cutis congenita inherited ?,2932,True,True,True,2932,0.8366006016731262
What are the genetic changes related to malonyl-CoA decarboxylase deficiency ?,8290,True,True,True,8290,0.8286029100418091
What are the genetic changes related to achromatopsia ?,11567,True,True,True,11567,0.7001081705093384
What is (are) Sotos syndrome ?,14803,False,False,False,2172,0.684482991695404
What is (are) Refsum Disease ?,3000,False,False,False,85,0.6676721572875977
How many people are affected by pilomatricoma ?,6932,True,True,True,6932,0.705019474029541
What is (are) Alpers' Disease ?,15870,False,False,False,9795,0.574213445186615
What is (are) Esophagus Disorders ?,15305,True,True,True,15305,0.6921831965446472
Global Longitudinal Pathway: has medical education curriculum influenced medical students' skills and attitudes toward culturally diverse populations?,15170,True,True,True,15170,0.8504619598388672
What is (are) Zika Virus ?,11616,False,True,True,14139,0.688818633556366
what research (or clinical trials) is being done for Lung Cancer ?,14302,True,True,True,14302,0.7459009289741516
How many people are affected by infantile-onset spinocerebellar ataxia ?,2009,True,True,True,2009,0.722051739692688
What are the symptoms of Lenz microphthalmia syndrome ?,9158,True,True,True,9158,0.7866703271865845
What are the treatments for Progressive hemifacial atrophy ?,11809,True,True,True,11809,0.9399236440658569
What is (are) Bronchiolitis obliterans organizing pneumonia ?,15924,False,True,True,3565,0.7683401107788086
What is (are) paroxysmal extreme pain disorder ?,1470,True,True,True,1470,0.7505598664283752
What causes Rheumatoid Arthritis ?,5274,False,False,True,8537,0.7742544412612915
What is (are) Anophthalmia plus syndrome ?,304,False,True,True,7937,0.7836929559707642
What is (are) cartilage-hair hypoplasia ?,5148,True,True,True,5148,0.7434636950492859
What are the genetic changes related to Bloom syndrome ?,4201,True,True,True,4201,0.5969107747077942
"What are the symptoms of Heart-hand syndrome, Slovenian type ?",735,True,True,True,735,0.8175456523895264
Who is at risk for Osteosarcoma and Malignant Fibrous Histiocytoma of Bone? ?,1533,False,True,True,9063,0.8604301810264587
Is familial isolated pituitary adenoma inherited ?,123,False,False,True,15450,0.832198977470398
What are the treatments for Gray platelet syndrome ?,6134,True,True,True,6134,0.7086201906204224
What is (are) Meningoencephalocele ?,88,True,True,True,88,0.7784115672111511
Is sporadic hemiplegic migraine inherited ?,7625,False,True,True,11961,0.7861495018005371
Does government assistance improve utilization of eye care services by low-income individuals?,6415,True,True,True,6415,0.766087532043457
What is (are) Haemophilus Infections ?,10113,True,True,True,10113,0.6796247959136963
How many people are affected by maple syrup urine disease ?,5687,False,True,True,1938,0.6672250032424927
